commune_id|commune_name
01001|ABERGEMENT-CLEMENCIAT
01002|ABERGEMENT-DE-VAREY
01003|AMAREINS
01004|AMBERIEU-EN-BUGEY
01005|AMBERIEUX-EN-DOMBES
01006|AMBLEON
01007|AMBRONAY
01008|AMBUTRIX
01009|ANDERT-ET-CONDON
01010|ANGLEFORT
01011|APREMONT
01012|ARANC
01013|ARANDAS
01014|ARBENT
01015|ARBOYS-EN-BUGEY
01016|ARBIGNY
01017|ARGIS
01018|ARLOD
01019|ARMIX
01020|ARNANS
01021|ARS-SUR-FORMANS
01022|ARTEMARE
01023|ASNIERES-SUR-SAONE
01024|ATTIGNAT
01025|BAGE-LA-VILLE
01026|BAGE-LE-CHATEL
01027|BALAN
01028|BANEINS
01029|BEAUPONT
01030|BEAUREGARD
01031|BELLIGNAT
01032|BELIGNEUX
01033|BELLEGARDE-SUR-VALSERINE
01034|BELLEY
01035|BELLEYDOUX
01036|BELMONT-LUTHEZIEU
01037|BENONCES
01038|BENY
01039|BEON
01040|BEREZIAT
01041|BETTANT
01042|BEY
01043|BEYNOST
01044|BILLIAT
01045|BIRIEUX
01046|BIZIAT
01047|BLYES
01048|BOHAS
01049|LA-BOISSE
01050|BOISSEY
01051|BOLOZON
01052|BOULIGNEUX
01053|BOURG-EN-BRESSE
01054|BOURG-SAINT-CHRISTOPHE
01055|BOUVENT
01056|BOYEUX-SAINT-JEROME
01057|BOZ
01058|BREGNIER-CORDON
01059|BRENAZ
01060|BRENOD
01061|BRENS
01062|BRESSOLLES
01063|BRION
01064|BRIORD
01065|BUELLAS
01066|LA-BURBANCHE
01067|CEIGNES
01068|CERDON
01069|CERTINES
01070|CESSEINS
01071|CESSY
01072|CEYZERIAT
01073|CEYZERIEU
01074|CHALAMONT
01075|CHALEINS
01076|CHALEY
01077|CHALLES-LA-MONTAGNE
01078|CHALLEX
01079|CHAMPAGNE-EN-VALROMEY
01080|CHAMPDOR-CORCELLES
01081|CHAMPFROMIER
01082|CHANAY
01083|CHANEINS
01084|CHANOZ-CHATENAY
01085|LA-CHAPELLE-DU-CHATELARD
01086|CHARANCIN
01087|CHARIX
01088|CHARNOZ-SUR-AIN
01089|CHATEAU-GAILLARD
01090|CHATENAY
01091|CHATILLON-EN-MICHAILLE
01092|CHATILLON-LA-PALUD
01093|CHATILLON-SUR-CHALARONNE
01094|CHAVANNES-SUR-REYSSOUZE
01095|CHAVANNES-SUR-SURAN
01096|CHAVEYRIAT
01097|CHAVORNAY
01098|CHAZEY-BONS
01099|CHAZEY-SUR-AIN
01100|CHEIGNIEU-LA-BALME
01101|CHEVILLARD
01102|CHEVROUX
01103|CHEVRY
01104|CHEZERY-FORENS
01105|CIVRIEUX
01106|CIZE
01107|CLEYZIEU
01108|COLIGNY
01109|COLLONGES
01110|COLOMIEU
01111|CONAND
01112|CONDAMINE
01113|CONDEISSIAT
01114|CONFORT
01115|CONFRANCON
01116|CONTREVOZ
01117|CONZIEU
01118|CORBONOD
01119|CORCELLES
01120|CORDIEUX
01121|CORLIER
01122|CORMARANCHE-EN-BUGEY
01123|CORMORANCHE-SUR-SAONE
01124|CORMOZ
01125|CORVEISSIAT
01126|COUPY
01127|COURMANGOUX
01128|COURTES
01129|CRANS
01130|CRAS-SUR-REYSSOUZE
01131|CRAZ
01132|CREPIEUX-LA-PAPE
01133|CRESSIN-ROCHEFORT
01134|CROTTET
01135|CROZET
01136|CRUZILLES-LES-MEPILLAT
01137|CUISIAT
01138|CULOZ
01139|CURCIAT-DONGALON
01140|CURTAFOND
01141|CUZIEU
01142|DAGNEUX
01143|DIVONNE-LES-BAINS
01144|DOMMARTIN
01145|DOMPIERRE-SUR-VEYLE
01146|DOMPIERRE-SUR-CHALARONNE
01147|DOMSURE
01148|DORTAN
01149|DOUVRES
01150|DROM
01151|DRUILLAT
01152|ECHALLON
01153|ECHENEVEX
01154|ETREZ
01155|EVOSGES
01156|FARAMANS
01157|FAREINS
01158|FARGES
01159|FEILLENS
01160|FERNEY-VOLTAIRE
01161|FITIGNIEU
01162|FLAXIEU
01163|FOISSIAT
01164|FORENS
01165|FRANCHELEINS
01166|FRANS
01167|GARNERANS
01168|GENAY
01169|GENOUILLEUX
01170|BEARD-GEOVREISSIAT
01171|GEOVREISSET
01172|GERMAGNAT
01173|GEX
01174|GIRON
01175|GORREVOD
